Аварийность,Адрес,Безопасность,Газоснабжение,Год постройки,Жилая,Инфраструктура,Кухня,Лифты,Метро 0,Метро 1,Метро 2,Мусоропровод,Название,Общая,Отопление,Отрицательное соседство,Парковка,Подъезды,Положительное соседство,Построен,Срок сдачи,Строительная серия,Тип дома,Тип перекрытий,Транспорт,Цена,Цена за квадрат,Экология,Этаж
Нет,"Москва, ЮВАО, р-н Нижегородский, 3-я Карачаровская ул., 9к3",,,1992,"19,1 м²",,9 м²,"1 пассажирский, 1 грузовой", ⋅  15 мин. на транспорте, ⋅  21 мин. пешком,,,"1-комн. квартира, 39 м²",39 м²,Центральное,,,2,,1992,,П-44,Панельный,Железобетонные,,7000000,179 487,,12 из 17
,"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп., 128К4",,,,34 м²,,10 м²,, ⋅  15 мин. пешком,,,,"2-комн. квартира, 56,3 м²","56,3 м²",,,,,,,,,,,,9490000,168 561,,3 из 17
Нет,"Москва, САО, р-н Хорошевский, Хорошевское ш., 16к2",,,2008,,,8 м²,Нет, ⋅  3 мин. пешком,,,Есть,"2-комн. квартира, 55 м²",55 м²,Центральное,,Подземная,1,,2007,,,Монолитный,Железобетонные,,22500000,409 091,,23 из 44
Нет,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,2011,50 м²,,,Нет,,,,,"2-комн. квартира, 100 м²",100 м²,Центральное,,Подземная,5,,2008,,,Монолитный,Железобетонные,,52500000,525 000,,27 из 50
,"Москва, ЗАО, р-н Раменки, ул. Пудовкина, вл7А",,,,37 м²,,15 м²,"1 пассажирский, 1 грузовой", ⋅  22 мин. пешком, ⋅  18 мин. пешком,,Есть,"2-комн. квартира, 85 м²",85 м²,,,Наземная,,,,,,,,,39890000,469 294,,15 из 17
Нет,"Москва, САО, р-н Аэропорт, ул. Черняховского, 17К4",,Центральное,1960,28 м²,,9 м²,Нет, ⋅  15 мин. пешком, ⋅  21 мин. пешком,,,"2-комн. квартира, 46,3 м²","46,3 м²",Центральное,,,3,,1960,,,Кирпичный,Железобетонные,,8000000,172 786,,1 из 5
Нет,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 4/2",,Центральное,1957,43 м²,,15 м²,1 пассажирский, ⋅  10 мин. пешком,,,Есть,"2-комн. квартира, 64 м²",64 м²,Центральное,,Открытая,10,,,,,Кирпичный,Железобетонные,,26000000,406 250,,4 из 10
Нет,"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С48",,,2015,,,,"1 пассажирский, 1 грузовой", ⋅  4 мин. пешком, ⋅  9 мин. пешком, ⋅  15 мин. пешком,Есть,"2-комн. апартаменты, 72,4 м²","72,4 м²",,,Многоуровневая,,,,,,Монолитный,,,29600000,408 840,,3 из 8
Нет,"Москва, ЦАО, р-н Таганский, ул. Рогожский Вал, 4",,,1974,31 м²,,25 м²,"1 пассажирский, 1 грузовой", ⋅  3 мин. пешком, ⋅  3 мин. пешком, ⋅  6 мин. пешком,Есть,"2-комн. квартира, 63,8 м²","63,8 м²",Центральное,,Наземная,3,,1974,,,Панельный,Железобетонные,,15350000,240 596,,2 из 16
Нет,"Москва, ЦАО, р-н Тверской, Тихвинская ул., 39",,,2009,60 м²,,16 м²,"1 пассажирский, 1 грузовой", ⋅  12 мин. пешком, ⋅  12 мин. пешком, ⋅  18 мин. пешком,Есть,"2-комн. квартира, 101,3 м²","101,3 м²",Центральное,,Подземная,3,,2009,,,Монолитный,Железобетонные,,46000000,454 097,,17 из 17
,"Москва, ЦАО, р-н Якиманка, Софийская наб., 34С4",,,,,,,"2 пассажирских, 2 грузовых", ⋅  10 мин. пешком, ⋅  13 мин. пешком, ⋅  17 мин. пешком,Есть,"2-комн. апартаменты, 43 м²",43 м²,,,Подземная,,,2019,,,,,,28500000,662 791,,2 из 8
