Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Москва, ЮАО, р-н Даниловский, Зиларт жилой комплекс, 17",15.8,12.2,38.55,9690000.0,251362.0,4,11,13.0,пешком,"(55.697031, 37.635107, 0.0)"
"Москва, ЮАО, р-н Даниловский, Зиларт жилой комплекс, 16",10.2,16.7,34.5,9120000.0,264348.0,10,16,13.0,пешком,"(55.698031, 37.635781, 0.0)"
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С23",40.0,7.0,76.7,29759600.0,388000.0,3,5,9.0,пешком,"(55.77517, 37.674022, 0.0)"
"Московская область, Ленинский городской округ, Бутово рп, Бутово Парк жилой комплекс, 6",33.5,14.0,64.1,7600000.0,118565.0,16,21,7.0,на транспорте,"(55.547672, 37.588727, 0.0)"
"Москва, ВАО, р-н Богородское, Тюменский проезд",14.6,9.6,34.3,7490000.0,218367.0,8,31,4.0,пешком,"(55.812019, 37.738018, 0.0)"
"Москва, ЗАО, р-н Раменки, 2-й Сетуньский проезд, 13",30.0,6.0,45.0,10380000.0,230667.0,6,12,10.0,на транспорте,"(55.731379, 37.532565, 0.0)"
"Московская область, Ленинский городской округ, Мисайлово деревня, бул. Литературный, 2",29.0,12.0,55.0,5800000.0,105455.0,8,17,15.0,на транспорте,"(55.557195, 37.813881, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9к4",36.7,,81.84,36000000.0,439883.0,4,21,9.0,пешком,"(55.761771, 37.549184, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов, 13",24.0,17.2,58.9,5858000.0,99457.0,15,25,6.0,на транспорте,"(55.836827, 37.282348, 0.0)"
"Москва, ЦАО, р-н Пресненский, Большая Садовая ул., 5к2",66.5,,66.54,36597000.0,550000.0,7,13,4.0,пешком,"(55.769104, 37.591701, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Плющиха, 20/2",33.1,8.0,50.0,17000000.0,340000.0,3,3,7.0,пешком,"(55.743659, 37.577975, 0.0)"
"Москва, ВАО, р-н Новогиреево, Фрязевская ул., 13",27.4,6.0,43.2,8200000.0,189815.0,7,9,7.0,пешком,"(55.747404, 37.825487, 0.0)"
"Москва, САО, р-н Хорошевский, Ходынский бул., 20А",,,47.0,14500000.0,308511.0,3,15,10.0,пешком,"(55.790777, 37.523204, 0.0)"
"Москва, ЮЗАО, р-н Коньково, Профсоюзная ул., 73",28.0,6.0,38.0,6950000.0,182895.0,7,15,5.0,на транспорте,"(55.648677, 37.532771, 0.0)"
"Москва, САО, р-н Тимирязевский, ул. Дубки, 2",18.4,9.3,36.2,8290000.0,229006.0,11,15,5.0,пешком,"(55.816981, 37.567869, 0.0)"
"Москва, ЮВАО, р-н Выхино-Жулебино, Ташкентская ул., 23К2",29.5,5.9,45.2,6900000.0,152655.0,11,14,10.0,на транспорте,"(55.700872, 37.812767, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4",38.0,14.0,73.35,34347557.0,468269.0,3,17,6.0,пешком,"(55.797483, 37.495096, 0.0)"
"Москва, ЮЗАО, р-н Черемушки, ул. Наметкина, 18",27.0,13.0,55.3,24500000.0,443038.0,2,23,15.0,пешком,"(55.659571, 37.560071, 0.0)"
"Москва, СВАО, р-н Бутырский, ул. Руставели, 6К6",25.1,5.2,32.0,7800000.0,243750.0,1,9,12.0,пешком,"(55.812317, 37.589248, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 94к4",41.0,15.0,66.1,28000000.0,423601.0,29,36,10.0,пешком,"(55.652999, 37.47174, 0.0)"
"Московская область, Ленинский городской округ, Боброво рп, ул. Крымская, 9",,,63.0,7990000.0,126825.0,10,17,15.0,на транспорте,"(55.534372, 37.613521, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, Нахимовский просп., 73",50.0,20.0,95.0,23840000.0,250947.0,21,27,24.0,пешком,"(55.682453, 37.552373, 0.0)"
"Москва, ВАО, р-н Новогиреево, Кусковская ул., 33",11.0,3.0,18.0,4700000.0,261111.0,5,5,10.0,пешком,"(55.742919, 37.787031, 0.0)"
"Москва, ЦАО, р-н Мещанский, пер. Большой Головин, 10",20.5,10.0,47.0,17000000.0,361702.0,5,6,5.0,пешком,"(55.76921, 37.627454, 0.0)"
"Москва, САО, р-н Левобережный, Смольная ул., 61К1",18.0,10.0,43.0,10500000.0,244186.0,24,25,4.0,пешком,"(55.868607, 37.472171, 0.0)"
"Московская область, Балашиха, ул. Реутовская, 2",24.3,21.9,62.0,6700000.0,108065.0,13,25,6.0,на транспорте,"(55.784061, 37.855797, 0.0)"
"Московская область, Видное, бул. Зеленые аллеи, 1",36.2,13.9,69.28,7400000.0,106813.0,15,17,25.0,на транспорте,"(55.556945, 37.692366, 0.0)"
"Москва, САО, р-н Молжаниновский, Синявинская ул., 11к10",40.0,11.4,66.3,7400000.0,111614.0,7,19,20.0,на транспорте,"(55.946955, 37.347099, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 7к1",19.0,11.0,36.0,5500000.0,152778.0,7,12,15.0,пешком,"(55.593054, 37.460313, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, бул. Скандинавский, 4к1",34.0,13.0,61.0,8100000.0,132787.0,8,16,15.0,на транспорте,"(55.567097, 37.496713, 0.0)"
"Москва, ВАО, р-н Измайлово, Измайловский проезд, 10к3",41.6,13.7,69.6,19140000.0,275000.0,18,18,13.0,пешком,"(55.794421, 37.772262, 0.0)"
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, к10/1",15.0,10.0,33.0,4600000.0,139394.0,3,16,10.0,на транспорте,"(55.557297, 37.50964, 0.0)"
"Москва, ЗАО, р-н Кунцево, Оршанская ул., 11",19.1,8.4,38.0,8990000.0,236579.0,11,17,9.0,пешком,"(55.743289, 37.402237, 0.0)"
"Москва, ЮВАО, р-н Люблино, Новороссийская ул., 5К2",,,42.0,8000000.0,190476.0,3,5,0.0,на транспорте,"(55.679681, 37.761411, 0.0)"
"Москва, ЦАО, р-н Хамовники, Малый Левшинский пер., 10",54.0,,68.0,29000000.0,426471.0,1,4,13.0,пешком,"(55.741774, 37.590282, 0.0)"
"Московская область, Реутов, мкр. Южный Реутов, Молодежная ул., 1",31.6,11.0,58.0,8650000.0,149138.0,10,17,12.0,пешком,"(55.747824, 37.84693, 0.0)"
"Москва, ЮВАО, р-н Южнопортовый, Шарикоподшипниковская ул., 9",44.0,8.4,64.0,16600000.0,259375.0,6,8,8.0,пешком,"(55.721503, 37.672334, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",21.9,17.3,51.8,11000000.0,212355.0,28,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",29.4,12.5,53.5,10860000.0,202991.0,5,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",13.9,10.6,33.7,7500000.0,222552.0,3,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",13.3,18.0,35.3,8240000.0,233428.0,10,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",12.7,12.9,36.8,8000000.0,217391.0,3,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",28.2,17.5,63.0,11890000.0,188730.0,5,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",27.8,12.7,53.5,10550000.0,197196.0,5,29,4.0,пешком,"(55.84303, 37.483041, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,108.0,16800000.0,155556.0,7,58,5.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Московская область, Ленинский городской округ, Горки деревня",16.0,15.4,51.0,5095266.0,99907.0,1,5,17.0,на транспорте,"(55.507795, 37.755931, 0.0)"
"Москва, ЮЗАО, р-н Теплый Стан, ул. Теплый Стан, 21К2",18.0,10.0,35.0,6470000.0,184857.0,6,9,4.0,на транспорте,"(55.626909, 37.483059, 0.0)"
"Москва, СВАО, р-н Лосиноостровский, Тайнинская ул., 18",19.0,6.0,32.0,5400000.0,168750.0,1,9,5.0,на транспорте,"(55.881702, 37.685422, 0.0)"
"Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 124к2",30.0,9.0,65.0,7250000.0,111538.0,1,17,3.0,на транспорте,"(55.52513, 37.5114, 0.0)"
"Москва, ЮЗАО, р-н Северное Бутово, ул. Грина, 1к8",31.0,12.0,62.0,12300000.0,198387.0,15,24,3.0,на транспорте,"(55.560784, 37.587272, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39В",24.0,10.0,52.62,14200000.0,269859.0,16,50,4.0,пешком,"(55.753428, 37.530265, 0.0)"
"Москва, ЮАО, р-н Донской, ул. Орджоникидзе, 9К2",36.0,9.8,61.5,15000000.0,243902.0,4,5,12.0,пешком,"(55.708775, 37.599319, 0.0)"
"Москва, ЦАО, р-н Пресненский, Зоологическая ул., 12К2",27.9,8.5,46.6,16500000.0,354077.0,5,16,10.0,пешком,"(55.76447, 37.582206, 0.0)"
"Москва, САО, р-н Головинский, Ленинградское ш., 58С24",15.0,10.0,41.8,10200000.0,244019.0,12,14,3.0,на транспорте,"(55.84303, 37.483041, 0.0)"
"Москва, ТАО (Троицкий), Первомайское поселение, Ивановское деревня, ул. Семена Гордого, 1",18.0,14.0,48.0,6000000.0,125000.0,3,7,20.0,на транспорте,"(55.545416, 37.154742, 0.0)"
"Московская область, Мытищи, мкр. Ярославский, Юбилейная ул., 16",17.7,10.0,41.6,5350000.0,128606.0,11,25,20.0,на транспорте,"(55.913162, 37.713063, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, Никулинская ул.",19.3,19.3,45.5,8300000.0,182418.0,13,21,15.0,пешком,"(55.670696, 37.452148, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Гарибальди, 7",39.2,10.2,70.8,26250000.0,370763.0,14,18,17.0,пешком,"(55.677275, 37.53738, 0.0)"
"Москва, СВАО, р-н Останкинский, ул. Годовикова",29.9,15.4,55.67,15030900.0,270000.0,24,34,12.0,пешком,"(55.809742, 37.628918, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к1",27.0,19.9,67.9,24240300.0,357000.0,47,54,7.0,пешком,"(55.754618, 37.524058, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к1",23.4,23.2,62.28,21860280.0,351000.0,42,54,7.0,пешком,"(55.754618, 37.524058, 0.0)"
"Москва, ЮЗАО, р-н Зюзино, Азовская ул., 9К2",20.0,10.0,39.0,10300000.0,264103.0,12,22,7.0,пешком,"(55.658124, 37.602005, 0.0)"
"Москва, ЗАО, р-н Можайский, Рябиновая ул., 3к1",31.8,11.1,58.33,12670000.0,217212.0,5,23,5.0,на транспорте,"(55.718709, 37.424902, 0.0)"
"Москва, ЮАО, р-н Даниловский, Зиларт жилой комплекс, 8",12.2,15.5,43.51,10300000.0,236727.0,4,20,5.0,на транспорте,"(55.699137, 37.638548, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Новикова, 2К3",28.8,5.8,43.2,8000000.0,185185.0,5,5,10.0,пешком,"(55.802265, 37.470473, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Авиаконструктора Сухого, 2к1",32.3,12.0,54.5,15000000.0,275229.0,14,24,5.0,пешком,"(55.786313, 37.542428, 0.0)"
"Москва, ЦАО, р-н Пресненский, Мантулинская ул., 9к2",,,40.0,15500000.0,387500.0,10,21,7.0,пешком,"(55.755312, 37.545626, 0.0)"
"Московская область, Подольск, мкр. Центральный, Красная ул., 11/1",22.1,5.0,35.3,4900000.0,138810.0,8,9,25.0,на транспорте,"(55.432669, 37.55425, 0.0)"
"Московская область, Видное, Видный город жилой комплекс, 15к1",15.1,8.5,32.4,3100000.0,95679.0,7,9,9.0,на транспорте,"(55.537353, 37.648322, 0.0)"
"Московская область, Красногорск городской округ, Путилково деревня, бул. Спасо-Тушинский, 5",,,62.0,7550000.0,121774.0,23,23,15.0,на транспорте,"(55.874021, 37.396838, 0.0)"
"Москва, ЮЗАО, р-н Черемушки, Новочеремушкинская ул., 44К2",42.8,16.9,85.0,27000000.0,317647.0,12,20,0.0,на транспорте,"(55.673549, 37.567743, 0.0)"
"Москва, ЗАО, р-н Раменки, Минская ул., 1ГК1",,,60.0,23500000.0,391667.0,11,22,10.0,пешком,"(55.713065, 37.501007, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 8",,,64.3,38000000.0,590980.0,4,15,5.0,пешком,"(55.726208, 37.576762, 0.0)"
"Москва, ВАО, р-н Восточное Измайлово, Сиреневый бул., 46/35К4",19.5,9.6,34.5,7200000.0,208696.0,4,16,17.0,пешком,"(55.801895, 37.817448, 0.0)"
"Москва, ЮВАО, р-н Печатники, Шоссейная ул., 2к2",31.0,7.0,50.0,9500000.0,190000.0,3,9,2.0,пешком,"(55.692805, 37.725226, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10с1к4/3",,,98.0,115000000.0,1173469.0,8,15,5.0,пешком,"(55.725164, 37.574525, 0.0)"
"Москва, САО, р-н Хорошевский, Хорошевское ш., 12к1",35.0,10.7,67.0,21630000.0,322836.0,18,32,3.0,на транспорте,"(55.774745, 37.548609, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 95Б",33.2,22.8,78.6,23894400.0,304000.0,18,33,5.0,на транспорте,"(55.672905, 37.524318, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов, 6",10.9,8.9,32.3,3819000.0,118235.0,2,25,20.0,на транспорте,"(55.834396, 37.27703, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов, 6",10.2,8.2,29.4,3066000.0,104286.0,25,25,20.0,на транспорте,"(55.834396, 37.27703, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов, 17",12.0,8.0,29.7,3569000.0,120168.0,3,25,20.0,на транспорте,"(55.83801, 37.28569, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Викторенко, вл11",,,41.0,12950000.0,315854.0,6,15,9.0,пешком,"(55.795444, 37.526896, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Викторенко, вл11",,,52.0,15600000.0,300000.0,6,15,9.0,пешком,"(55.795444, 37.526896, 0.0)"
"Московская область, Химки, мкр. Новые Химки, ул. Бабакина, 15",,13.0,48.0,8100000.0,168750.0,21,26,4.0,на транспорте,"(55.878576, 37.417553, 0.0)"
"Москва, ЦАО, р-н Таганский, Большая Андроньевская ул., 7",41.0,15.0,62.26,28600000.0,459364.0,2,7,4.0,на транспорте,"(55.744176, 37.671193, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов, 17",24.3,17.0,58.9,6285000.0,106706.0,24,25,8.0,на транспорте,"(55.83801, 37.28569, 0.0)"
"Москва, СВАО, р-н Бибирево, ул. Лескова, 23",30.6,8.7,52.6,9700000.0,184411.0,10,12,20.0,пешком,"(55.892764, 37.619513, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Большая Филевская ул., 4",29.3,23.0,73.4,18500000.0,252044.0,16,16,10.0,на транспорте,"(55.753686, 37.513143, 0.0)"
"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 77к1",35.0,9.0,58.0,14150000.0,243966.0,4,9,9.0,пешком,"(55.685782, 37.543192, 0.0)"
"Москва, САО, р-н Коптево, бул. Матроса Железняка, 11",35.2,13.8,72.4,12508000.0,172762.0,6,11,3.0,на транспорте,"(55.829193, 37.524309, 0.0)"
"Москва, САО, р-н Беговой, Ленинградский просп., 29к1",25.0,10.0,42.0,11900000.0,283333.0,15,18,7.0,пешком,"(55.785169, 37.564033, 0.0)"
"Москва, САО, р-н Коптево, бул. Матроса Железняка, 11",35.0,16.0,72.3,12491000.0,172766.0,7,11,3.0,на транспорте,"(55.829193, 37.524309, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Поклонная ул., вл9",,,51.6,19670384.0,381209.0,8,32,7.0,пешком,"(55.734385, 37.525342, 0.0)"
"Москва, САО, р-н Коптево, бул. Матроса Железняка, 11",19.6,20.1,58.8,10196000.0,173401.0,10,11,3.0,на транспорте,"(55.829193, 37.524309, 0.0)"
"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 9к2",49.0,,82.5,36000000.0,436364.0,5,17,3.0,на транспорте,"(55.761644, 37.550567, 0.0)"
"Москва, ЮАО, р-н Даниловский, Павелецкая наб., 8",,,72.9,22426592.0,307635.0,14,16,2.0,на транспорте,"(55.710169, 37.647217, 0.0)"
"Москва, ЮАО, р-н Даниловский, Павелецкая наб., 8",,,62.0,16365520.0,263960.0,10,16,2.0,на транспорте,"(55.710169, 37.647217, 0.0)"
"Москва, ЮАО, р-н Даниловский, Павелецкая наб., 8",,,62.0,18262720.0,294560.0,16,16,2.0,на транспорте,"(55.710169, 37.647217, 0.0)"
"Москва, ЮАО, р-н Даниловский, Павелецкая наб., 8",,,85.3,20497590.0,240300.0,7,16,2.0,на транспорте,"(55.710169, 37.647217, 0.0)"
"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18к1",17.7,8.9,38.5,7904000.0,205299.0,2,13,12.0,пешком,"(55.723607, 37.824032, 0.0)"
"Москва, ВАО, р-н Вешняки, Вешняковская ул., 18к1",29.0,9.6,52.2,11481800.0,219958.0,9,13,12.0,пешком,"(55.723607, 37.824032, 0.0)"
"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Александры Монаховой, 94к2",16.0,,23.0,4850000.0,210870.0,9,10,7.0,на транспорте,"(55.542187, 37.483068, 0.0)"
"Москва, ЮЗАО, р-н Гагаринский, ул. Вавилова, 18",20.0,8.0,35.0,7650000.0,218571.0,1,5,5.0,пешком,"(55.703936, 37.582008, 0.0)"
"Московская область, Красногорск, мкр. Чернево, бул. Космонавтов",13.0,5.0,26.0,3990000.0,153462.0,20,24,25.0,на транспорте,"(55.835058, 37.278081, 0.0)"
"Московская область, Балашиха, мкр. Янтарный, проезд Акуловский, 4",18.0,11.0,50.0,5100000.0,102000.0,22,25,15.0,на транспорте,"(55.821082, 37.881443, 0.0)"
"Москва, СВАО, р-н Алексеевский, просп. Мира, 124к17",30.0,8.0,56.0,14500000.0,258929.0,8,8,9.0,пешком,"(55.813743, 37.640902, 0.0)"
"Москва, СВАО, р-н Ярославский, ул. Красная Сосна",27.8,8.2,57.5,8990125.0,156350.0,3,22,12.0,на транспорте,"(55.84496, 37.684551, 0.0)"
"Москва, СВАО, р-н Ярославский, ул. Красная Сосна",15.1,7.9,33.5,7631300.0,227800.0,19,22,12.0,на транспорте,"(55.84496, 37.684551, 0.0)"
"Московская область, Королев, мкр. Юбилейный, ул. Тихонравова, 36",30.8,7.5,49.0,5900000.0,120408.0,5,9,20.0,на транспорте,"(55.936751, 37.846337, 0.0)"
"Москва, ЮЗАО, р-н Черемушки, ул. Архитектора Власова, 19К2",,,32.1,7990000.0,248910.0,9,9,0.0,на транспорте,"(55.676275, 37.552876, 0.0)"
"Москва, ЮЗАО, р-н Южное Бутово, Южнобутовская ул., 53",33.0,8.0,54.0,8600000.0,159259.0,9,10,10.0,пешком,"(55.536176, 37.531657, 0.0)"
"Московская область, Королев, мкр. Костино, ул. Горького, 4В",19.2,6.0,38.0,4550000.0,119737.0,5,12,25.0,на транспорте,"(55.912017, 37.859884, 0.0)"
"Москва, ЗАО, р-н Проспект Вернадского, ул. Коштоянца, 15",23.8,6.4,38.0,8300000.0,218421.0,4,12,12.0,пешком,"(55.678407, 37.491386, 0.0)"
"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 43",37.6,14.2,85.3,17827700.0,209000.0,8,23,2.0,на транспорте,"(55.659231, 37.560835, 0.0)"
"Москва, ЮВАО, р-н Рязанский, ул. Федора Полетаева, 15А",30.5,10.5,63.9,12414080.0,194274.0,2,16,12.0,пешком,"(55.709804, 37.783491, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, бул. Генерала Карбышева",12.8,12.3,38.0,9205500.0,242250.0,2,28,7.0,на транспорте,"(55.780709, 37.469826, 0.0)"
"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 43к7",38.4,,50.3,12575000.0,250000.0,2,32,2.0,на транспорте,"(55.656986, 37.559173, 0.0)"
"Москва, ЦАО, р-н Красносельский, Краснопрудная ул., 1",,,55.0,21000000.0,381818.0,5,9,3.0,пешком,"(55.776877, 37.659371, 0.0)"
"Москва, НАО (Новомосковский), Московский поселение, ул. Татьянин Парк, 12к6",14.0,8.0,34.0,7600000.0,223529.0,4,8,8.0,пешком,"(55.655295, 37.423375, 0.0)"
"Москва, ЗАО, р-н Кунцево, Ярцевская ул., 27к1",,10.0,61.3,21000000.0,342577.0,12,31,1.0,пешком,"(55.741738, 37.416691, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Паршина, 10А",37.1,15.0,72.0,17500000.0,243056.0,9,20,5.0,на транспорте,"(55.78975, 37.456468, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Паршина, 10А",19.1,15.0,46.7,11800000.0,252677.0,7,20,5.0,на транспорте,"(55.78975, 37.456468, 0.0)"
"Москва, САО, р-н Хорошевский, Ходынский бул., 2",32.0,7.0,47.0,13500000.0,287234.0,2,15,2.0,пешком,"(55.789391, 37.536823, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул.",,,50.2,10993800.0,219000.0,2,22,5.0,на транспорте,"(55.782476, 37.500809, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 93К1",32.3,9.2,53.6,13600000.0,253731.0,4,16,10.0,пешком,"(55.667086, 37.496767, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Профсоюзная ул., 64к2",,,56.0,22450000.0,400893.0,36,40,7.0,пешком,"(55.665594, 37.547594, 0.0)"
"Московская область, Красногорск, Парк Рублево жилой комплекс, ул. Согласия, 15",50.0,28.9,78.9,25000000.0,316857.0,3,8,5.0,на транспорте,"(55.81255, 37.378674, 0.0)"
"Московская область, Красногорск, Парк Рублево жилой комплекс, ул. Согласия, 14",40.0,21.0,76.8,23990000.0,312370.0,3,8,5.0,на транспорте,"(55.812115, 37.379186, 0.0)"
"Московская область, Красногорск, мкр. Мякинино, Парк Рублево жилой комплекс, ул. Согласия, 5/2",53.3,6.4,83.4,22500000.0,269784.0,2,8,5.0,на транспорте,"(55.813663, 37.38216, 0.0)"
"Москва, ЗАО, р-н Крылатское, Островной проезд, 7К1",60.0,15.0,90.5,32500000.0,359116.0,2,4,14.0,на транспорте,"(55.759618, 37.4493, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,71.3,27900000.0,391304.0,17,79,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,62.0,24900000.0,401613.0,16,79,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с1",,,73.0,34999000.0,479438.0,20,85,3.0,пешком,"(55.750028, 37.534397, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,61.7,29900000.0,484603.0,42,79,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, вл17-18",,,62.7,28000000.0,446571.0,17,79,6.0,пешком,"(55.751138, 37.533742, 0.0)"
"Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2К1",,,19.0,3325000.0,175000.0,11,16,1.0,пешком,"(55.848958, 37.587245, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, 37-й квартал, Квартал 38А жилой комплекс",,,63.9,16722200.0,261693.0,4,20,2.0,на транспорте,"(55.663299, 37.515335, 0.0)"
"Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2К1",,,18.5,3237500.0,175000.0,13,16,3.0,пешком,"(55.848958, 37.587245, 0.0)"
"Москва, ЦАО, р-н Пресненский, Шмитовский проезд",,,41.29,10400000.0,251877.0,3,6,2.0,пешком,"(55.756366, 37.540748, 0.0)"
"Московская область, Ивантеевка, ул. Бережок, 8",19.0,10.0,32.0,3100000.0,96875.0,11,19,25.0,на транспорте,"(55.97602, 37.942035, 0.0)"
"Московская область, Мытищи, мкр. Пироговский, ул. Фабричная, 11А",33.6,18.0,88.4,6300000.0,71267.0,2,17,0.0,на транспорте,"(55.979395, 37.741207, 0.0)"
"Москва, ЮЗАО, р-н Северное Бутово, Старобитцевская ул., 11",20.8,9.6,38.8,6350000.0,163660.0,1,14,0.0,на транспорте,"(55.574803, 37.587847, 0.0)"
"Московская область, Ленинский городской округ, Боброво рп, ул. Крымская, 19",19.0,9.0,37.7,4800000.0,127321.0,17,17,20.0,на транспорте,"(55.52886, 37.619414, 0.0)"
"Московская область, Мытищи, мкр. Ярославский, ул. Борисовка, 16",,10.1,59.0,7000000.0,118644.0,6,22,0.0,на транспорте,"(55.915947, 37.710243, 0.0)"
"Москва, СВАО, р-н Бабушкинский, Верхоянская ул., 6К1",,,45.0,9200000.0,204444.0,3,9,0.0,на транспорте,"(55.858422, 37.669261, 0.0)"
"Московская область, Домодедово городской округ, Домодедово село, бул. Строителей, 5",37.7,13.0,64.0,5700000.0,89063.0,7,17,25.0,на транспорте,"(55.472684, 37.703882, 0.0)"
"Московская область, Мытищи городской округ, Датский квартал жилой комплекс, к3",26.5,13.0,52.0,5300000.0,101923.0,15,21,8.0,на транспорте,"(55.901839, 37.639913, 0.0)"
"Москва, ЗАО, р-н Раменки, Мичуринский просп., 7",42.8,11.5,75.0,29200000.0,389333.0,4,17,9.0,пешком,"(55.702729, 37.509703, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул.",,,50.2,10993800.0,219000.0,2,22,5.0,на транспорте,"(55.782476, 37.500809, 0.0)"
"Москва, ЦАО, р-н Таганский, Краснохолмская наб., 11С1",27.0,6.0,46.0,15990000.0,347609.0,2,8,9.0,пешком,"(55.733766, 37.651367, 0.0)"
"Москва, НАО (Новомосковский), Внуковское поселение, ул. Бориса Пастернака, 47",34.0,13.0,64.0,10000000.0,156250.0,7,17,10.0,пешком,"(55.639354, 37.30857, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34",18.0,14.0,46.1,12900000.0,279826.0,2,34,5.0,на транспорте,"(55.760991, 37.513628, 0.0)"
"Москва, ЦАО, р-н Арбат, Филипповский пер., 13С2",65.0,12.0,104.0,110000000.0,1057692.0,2,7,5.0,пешком,"(55.750261, 37.598447, 0.0)"
"Москва, ЦАО, р-н Якиманка, ул. Серафимовича, 2",,,204.4,95000000.0,464775.0,2,14,5.0,пешком,"(55.744444, 37.613072, 0.0)"
"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 6с2",31.0,21.4,62.8,13900000.0,221338.0,2,19,7.0,пешком,"(55.808604, 37.647729, 0.0)"
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С49",30.0,10.0,49.0,13000000.0,265306.0,6,9,9.0,пешком,"(55.775545, 37.672118, 0.0)"
